TransactionID,CustomerID,Timestamp,TransactionType,MerchantCategory,Amount,CardPresent,DeviceType,Country,HomeCountry,Hour,IsNight,IsForeign,DeviceNovel,PrevTimestamp,SecondsSincePrev,RapidSeq,FraudProb,FraudFlag,AmtScaled,MerchantRisk,CardNotPresent,RiskScore
TX-200767,CUST-10000,2021-05-17 12:33:26,Online,Travel,200.72,No,Mobile,India,India,12,0,0,1,,999999.0,0,0.09859801830337778,0,0.02530521306565503,0.05,1,0.21485682457297928
TX-202097,CUST-10000,2022-03-13 12:35:05,Online,Crypto,229.7,Yes,ATM Machine,India,India,12,0,0,0,2021-05-17 12:33:26,25920099.0,0,0.13523952812937584,0,0.02896133568327734,0.12,0,0.02453646748914707
TX-219271,CUST-10000,2022-05-22 19:00:17,ATM,Travel,19.86,Yes,ATM Machine,India,India,19,0,0,0,2022-03-13 12:35:05,6071112.0,0,0.06423068293252811,0,0.002487879158713318,0.05,0,0.006870757705549661
TX-210552,CUST-10000,2022-10-05 10:08:47,POS,Education,57.54,Yes,POS Terminal,India,India,10,0,0,1,2022-05-22 19:00:17,11718510.0,0,0.05097129261250622,0,0.007241595522826797,0.005,0,0.10313455843298938
TX-213062,CUST-10001,2021-03-18 20:26:08,Online,Healthcare,17.26,No,Laptop,Brazil,Brazil,20,0,0,0,,999999.0,0,0.06146739995501903,0,0.002159862636773428,0.02,1,0.1031559519228707
TX-217260,CUST-10001,2021-10-13 15:46:35,Transfer,Entertainment,14.47,Yes,Laptop,Brazil,Brazil,15,0,0,0,2021-03-18 20:26:08,18040827.0,0,0.07093975739349911,0,0.0018078756766917769,0.03,0,0.004232756486842122
TX-215973,CUST-10001,2022-06-19 04:57:24,Online,Travel,47.87,No,Laptop,Brazil,Brazil,4,1,0,0,2021-10-13 15:46:35,21474649.0,0,0.09258333116125482,0,0.006021626381611899,0.05,1,0.18810756923356417
TX-211329,CUST-10001,2022-10-10 09:28:15,Transfer,Food,94.93,No,Laptop,Brazil,Brazil,9,0,0,0,2022-06-19 04:57:24,9779451.0,0,0.052695301172658554,0,0.011958725428723904,0.01,1,0.10538555390005337
TX-207746,CUST-10001,2022-10-18 12:16:26,ATM,Retail,12.97,Yes,ATM Machine,Brazil,Brazil,12,0,0,1,2022-10-10 09:28:15,701291.0,0,0.07207930298116566,0,0.0016186353755726097,0.02,0,0.10296652238145042
TX-206184,CUST-10002,2021-11-13 17:22:15,Online,Healthcare,69.69,No,Mobile,Singapore,Canada,17,0,1,0,,999999.0,0,0.1114462132672049,0,0.00877444196189205,0.02,1,0.25547105468666226
TX-205401,CUST-10002,2021-12-19 02:18:48,Online,Healthcare,27.13,Yes,Mobile,Canada,Canada,2,1,0,0,2021-11-13 17:22:15,3056193.0,0,0.07451256437829748,0,0.0034050638181375476,0.02,0,0.08359177233634814
TX-218471,CUST-10003,2021-07-23 11:07:27,Online,Entertainment,443.58,No,Laptop,UK,UK,11,0,0,0,,999999.0,0,0.05933115456887454,0,0.05594447941885565,0.03,1,0.12318056779659949
TX-217485,CUST-10003,2021-10-04 10:07:47,Online,Travel,133.06,No,Laptop,UK,UK,10,0,0,0,2021-07-23 11:07:27,6303620.0,0,0.07367217383761199,0,0.016769213883173133,0.05,1,0.1118692248591106
